Titel,Fach,Art,Themen,Erstellt,Klasse,Zuletzt bearbeitet
Test – ZF,EBC,Zusammenfassung,Kalkulationen,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Band 2 (ZF),Betriebswirtschaft,Zusammenfassung,"Firma, Vollmachten, Produkt- und Preispolitik, Marktbearbeitung",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Mitschriften,EBC,Mitschrift,"Rabatte, Gutschriften, Steuern",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Finanzierung und Investition,Betriebswirtschaft,Zusammenfassung,"Finanzplan, Investitionsmanagement",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Glossar – ZF,Deutsch,Zusammenfassung,Literatur,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Mündliche RP (ZF),Betriebswirtschaft,Zusammenfassung,Wichtigsten Themen,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Lernunterlage,Volkswirtschaft,Zusammenfassung,Sozialpartnerschaft,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Band 4,Betriebswirtschaft,Mitschrift,Wichtigsten Themen,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Personalmanagement,Betriebswirtschaft,Zusammenfassung,"Aufgaben, Beurteilung, …",18. Dezember 2023 21:18,5CHK,18. Dezember 2023 21:18
Einkauf und Beschaffung,Betriebswirtschaft,Zusammenfassung,"Lagerung, Spediteure",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Die Spitzin,Deutsch,Mitschrift,Marie von Ebner-Eschenbach,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Blog: Internship,Englisch,Mitschrift,Blog Entry – Homework,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Erbrecht,Recht,Mitschrift,"Pflichtteil, Außereheliches Kind",18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Fachklausur 2023 2.0,Betriebswirtschaft,Zusammenfassung,Wichtigsten Themen,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Unit 8 – Investments,Englisch,Zusammenfassung,p. 114 - 125,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Verwaltung,Recht,Mitschrift,"Hoheitsverwaltung, Selbstverwaltung, Regierungsformen",18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Test - ZF,"🌏 IWK ",Zusammenfassung,"Nahost Konflikt, Iran (+Buch), Kulturkreise, Saudi Arabien ",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Glossar,Deutsch,Mitschrift,Literatur,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Textinterpretation,Deutsch,Mitschrift,Aufbau,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Maturathemen,Mathematik,Mitschrift,Themen,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Band 3,Betriebswirtschaft,Zusammenfassung,Zusammenfassung der wichtigsten Seiten,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Unit 14 – Work-life-balance,Englisch,Mitschrift,,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Unit 9 – Marketing,Englisch,Mitschrift,p. 128 - 139,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Politische Ideen,Politische Bildung,,"Liberalismus, Nationalismus, …",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
